"gold_std_association_type"	"pubmed_id"	"num_sentence"	"subject_text"	"subject_start"	"subject_end"	"subject_type"	"object_text"	"object_start"	"object_end"	"object_type"	"original_sentence"	"pub_rel_id"	"formatted_sentence"	"form_subject"	"form_object"
"positive"	18713852	12	"diarrhea"	119	127	"disease"	"posaconazole"	59	71	"drug"	"The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea."	"drug_disease_97"	"<div class=""formatted_sentence"">The most common adverse effects associated with the use of <span class=""object_text"">posaconazole</span> include headache, fever, nausea, vomiting, and <span class=""subject_text"">diarrhea</span>.</div>"	"&quot;<span class=""form_subject"">diarrhea</span>&quot;"	"&quot;<span class=""form_object"">posaconazole</span>&quot;"
"positive"	17291222	10	"PAP"	0	3	"disease"	"SRL"	35	38	"drug"	"PAP is a very rare complication of SRL therapy with only a few cases described."	"drug_disease_226"	"<div class=""formatted_sentence""><span class=""subject_text"">PAP</span> is a very rare complication of <span class=""object_text"">SRL</span> therapy with only a few cases described.</div>"	"&quot;<span class=""form_subject"">PAP</span>&quot;"	"&quot;<span class=""form_object"">SRL</span>&quot;"
"false"	17291222	3	"nonproductive cough"	82	101	"disease"	"SRL"	27	30	"drug"	"Two years after initiating SRL, she presented complaints of progressive dyspnoea, nonproductive cough, chest pain and low-grade fever of 1 month duration."	"drug_disease_227"	"<div class=""formatted_sentence"">Two years after initiating <span class=""object_text"">SRL</span>, she presented complaints of progressive dyspnoea, <span class=""subject_text"">nonproductive cough</span>, chest pain and low-grade fever of 1 month duration.</div>"	"&quot;<span class=""form_subject"">nonproductive cough</span>&quot;"	"&quot;<span class=""form_object"">SRL</span>&quot;"
"positive"	18713852	8	"invasive fungal infections"	52	78	"disease"	"itraconazole"	183	195	"drug"	"Similarly, the same regimen of posaconazole reduced invasive fungal infections (95% CI -9.7 to -2.5) and aspergillosis (CI not reported, p < 0.001) when compared with fluconazole and itraconazole in neutropenic patients."	"drug_disease_100"	"<div class=""formatted_sentence"">Similarly, the same regimen of posaconazole reduced <span class=""subject_text"">invasive fungal infections</span> (95% CI -9.7 to -2.5) and aspergillosis (CI not reported, p < 0.001) when compared with fluconazole and <span class=""object_text"">itraconazole</span> in neutropenic patients.</div>"	"&quot;<span class=""form_subject"">invasive fungal infections</span>&quot;"	"&quot;<span class=""form_object"">itraconazole</span>&quot;"
"positive"	18713852	12	"vomiting"	105	113	"disease"	"posaconazole"	59	71	"drug"	"The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea."	"drug_disease_102"	"<div class=""formatted_sentence"">The most common adverse effects associated with the use of <span class=""object_text"">posaconazole</span> include headache, fever, nausea, <span class=""subject_text"">vomiting</span>, and diarrhea.</div>"	"&quot;<span class=""form_subject"">vomiting</span>&quot;"	"&quot;<span class=""form_object"">posaconazole</span>&quot;"
"speculative"	18713852	14	"resistant infections"	163	183	"disease"	"posaconazole"	14	26	"drug"	"At this time, posaconazole should probably be reserved for prophylaxis in patients at high risk for invasive fungal infection, as salvage therapy in refractory or resistant infections, or for patients with intolerance to other therapies."	"drug_disease_107"	"<div class=""formatted_sentence"">At this time, <span class=""object_text"">posaconazole</span> should probably be reserved for prophylaxis in patients at high risk for invasive fungal infection, as salvage therapy in refractory or <span class=""subject_text"">resistant infections</span>, or for patients with intolerance to other therapies.</div>"	"&quot;<span class=""form_subject"">resistant infections</span>&quot;"	"&quot;<span class=""form_object"">posaconazole</span>&quot;"
"speculative"	17244684	1	"GVHD"	127	131	"disease"	"oral beclomethasone dipropionate"	30	62	"drug"	"We tested the hypothesis that oral beclomethasone dipropionate (BDP) would control gastrointestinal graft-versus-host disease (GVHD) in patients with anorexia, vomiting, and diarrhea."	"drug_disease_238"	"<div class=""formatted_sentence"">We tested the hypothesis that <span class=""object_text"">oral beclomethasone dipropionate</span> (BDP) would control gastrointestinal graft-versus-host disease (<span class=""subject_text"">GVHD</span>) in patients with anorexia, vomiting, and diarrhea.</div>"	"&quot;<span class=""form_subject"">GVHD</span>&quot;"	"&quot;<span class=""form_object"">oral beclomethasone dipropionate</span>&quot;"
"positive"	18713852	7	"invasive fungal infections"	69	95	"disease"	"Posaconazole"	0	12	"drug"	"Posaconazole, in doses of 200 mg 3 times daily, reduced breakthrough invasive fungal infections (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving fluconazole."	"drug_disease_111"	"<div class=""formatted_sentence""><span class=""object_text"">Posaconazole</span>, in doses of 200 mg 3 times daily, reduced breakthrough <span class=""subject_text"">invasive fungal infections</span> (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving fluconazole.</div>"	"&quot;<span class=""form_subject"">invasive fungal infections</span>&quot;"	"&quot;<span class=""form_object"">Posaconazole</span>&quot;"
"positive"	17244684	9	"relapses of gastrointestinal GVHD"	18	51	"disease"	"prednisone"	74	84	"drug"	"Oral BDP prevents relapses of gastrointestinal GVHD following tapering of prednisone; survival is statistically significantly better among patients receiving BDP."	"drug_disease_240"	"<div class=""formatted_sentence"">Oral BDP prevents <span class=""subject_text"">relapses of gastrointestinal GVHD</span> following tapering of <span class=""object_text"">prednisone</span>; survival is statistically significantly better among patients receiving BDP.</div>"	"&quot;<span class=""form_subject"">relapses of gastrointestinal GVHD</span>&quot;"	"&quot;<span class=""form_object"">prednisone</span>&quot;"
"positive"	18713852	7	"invasive fungal infections"	69	95	"disease"	"fluconazole"	274	285	"drug"	"Posaconazole, in doses of 200 mg 3 times daily, reduced breakthrough invasive fungal infections (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving fluconazole."	"drug_disease_113"	"<div class=""formatted_sentence"">Posaconazole, in doses of 200 mg 3 times daily, reduced breakthrough <span class=""subject_text"">invasive fungal infections</span> (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving <span class=""object_text"">fluconazole</span>.</div>"	"&quot;<span class=""form_subject"">invasive fungal infections</span>&quot;"	"&quot;<span class=""form_object"">fluconazole</span>&quot;"
"positive"	18975369	6	"gout flares"	73	84	"disease"	"allopurinol"	137	148	"drug"	"The primary reasons for withdrawal were similar across groups except for gout flares, which were more frequent with febuxostat than with allopurinol."	"drug_disease_211"	"<div class=""formatted_sentence"">The primary reasons for withdrawal were similar across groups except for <span class=""subject_text"">gout flares</span>, which were more frequent with febuxostat than with <span class=""object_text"">allopurinol</span>.</div>"	"&quot;<span class=""form_subject"">gout flares</span>&quot;"	"&quot;<span class=""form_object"">allopurinol</span>&quot;"
"false"	17894421	1	"orofacial clefts"	156	172	"disease"	"Benzodiazepines"	12	27	"drug"	"Exposure to Benzodiazepines (BZD) during foetal life has been suggested to contribute to neonatal morbidity and some congenital malformations, for example, orofacial clefts."	"drug_disease_122"	"<div class=""formatted_sentence"">Exposure to <span class=""object_text"">Benzodiazepines</span> (BZD) during foetal life has been suggested to contribute to neonatal morbidity and some congenital malformations, for example, <span class=""subject_text"">orofacial clefts</span>.</div>"	"&quot;<span class=""form_subject"">orofacial clefts</span>&quot;"	"&quot;<span class=""form_object"">Benzodiazepines</span>&quot;"
"false"	17894421	11	"preterm birth"	58	71	"disease"	"BZD"	16	19	"drug"	"Maternal use of BZD and/or HBRA may increase the risk for preterm birth and low birth weight and cause neonatal symptoms, but does not appear to have a strong teratogenic potential."	"drug_disease_124"	"<div class=""formatted_sentence"">Maternal use of <span class=""object_text"">BZD</span> and/or HBRA may increase the risk for <span class=""subject_text"">preterm birth</span> and low birth weight and cause neonatal symptoms, but does not appear to have a strong teratogenic potential.</div>"	"&quot;<span class=""form_subject"">preterm birth</span>&quot;"	"&quot;<span class=""form_object"">BZD</span>&quot;"
"false"	17894421	1	"orofacial clefts"	156	172	"disease"	"BZD"	29	32	"drug"	"Exposure to Benzodiazepines (BZD) during foetal life has been suggested to contribute to neonatal morbidity and some congenital malformations, for example, orofacial clefts."	"drug_disease_125"	"<div class=""formatted_sentence"">Exposure to Benzodiazepines (<span class=""object_text"">BZD</span>) during foetal life has been suggested to contribute to neonatal morbidity and some congenital malformations, for example, <span class=""subject_text"">orofacial clefts</span>.</div>"	"&quot;<span class=""form_subject"">orofacial clefts</span>&quot;"	"&quot;<span class=""form_object"">BZD</span>&quot;"
"negative"	19117254	12	"vascular lesions"	100	116	"disease"	"etonogestrel"	141	153	"drug"	"We found no evidence of impaired control of the carbohydrate and lipid metabolism or aggravation of vascular lesions during the two years an etonogestrel implant was used by diabetic women."	"drug_disease_126"	"<div class=""formatted_sentence"">We found no evidence of impaired control of the carbohydrate and lipid metabolism or aggravation of <span class=""subject_text"">vascular lesions</span> during the two years an <span class=""object_text"">etonogestrel</span> implant was used by diabetic women.</div>"	"&quot;<span class=""form_subject"">vascular lesions</span>&quot;"	"&quot;<span class=""form_object"">etonogestrel</span>&quot;"
